algorithm,depth,encoding,features_used,avg_path_length,n_leaves,stability
ODT,3,onehot,3,3.0,8,0.0
RDT,3,onehot,3,3.0,8,1.0
RDT-TwoPass,3,onehot,2,3.0,8,0.8666666666666666
sklearn-DT,3,onehot,1,2.0,2,1.0
OSDT,3,onehot,3,3.0,8,0.0
ConTree,3,onehot,-1,3.0,-1,0.0
ODT,5,onehot,5,5.0,32,0.0
RDT,5,onehot,5,5.0,32,0.7533333333333333
RDT-TwoPass,5,onehot,3,5.0,32,0.6383333333333334
sklearn-DT,5,onehot,1,2.0,2,1.0
OSDT,5,onehot,5,5.0,32,0.0
ConTree,5,onehot,-1,5.0,-1,0.0
ODT,7,onehot,7,7.0,128,0.0
RDT,7,onehot,7,7.0,128,0.7833333333333333
RDT-TwoPass,7,onehot,5,7.0,128,0.780952380952381
sklearn-DT,7,onehot,1,2.0,2,1.0
OSDT,7,onehot,7,7.0,128,0.0
ConTree,7,onehot,-1,7.0,-1,0.0
ODT,9,onehot,9,9.0,512,0.0
RDT,9,onehot,7,9.0,512,0.7714285714285715
RDT-TwoPass,9,onehot,5,9.0,512,0.775595238095238
sklearn-DT,9,onehot,1,2.0,2,1.0
OSDT,9,onehot,9,9.0,512,0.0
ConTree,9,onehot,-1,9.0,-1,0.0
ODT,3,target,3,3.0,8,0.0
RDT,3,target,3,3.0,8,1.0
RDT-TwoPass,3,target,2,3.0,8,0.8666666666666666
sklearn-DT,3,target,1,2.0,2,1.0
OSDT,3,target,3,3.0,8,0.0
ConTree,3,target,-1,3.0,-1,0.0
ODT,5,target,5,5.0,32,0.0
RDT,5,target,5,5.0,32,0.7533333333333333
RDT-TwoPass,5,target,3,5.0,32,0.6383333333333334
sklearn-DT,5,target,1,2.0,2,1.0
OSDT,5,target,5,5.0,32,0.0
ConTree,5,target,-1,5.0,-1,0.0
ODT,7,target,7,7.0,128,0.0
RDT,7,target,7,7.0,128,0.7833333333333333
RDT-TwoPass,7,target,5,7.0,128,0.780952380952381
sklearn-DT,7,target,1,2.0,2,1.0
OSDT,7,target,7,7.0,128,0.0
ConTree,7,target,-1,7.0,-1,0.0
ODT,9,target,9,9.0,512,0.0
RDT,9,target,7,9.0,512,0.7714285714285715
RDT-TwoPass,9,target,5,9.0,512,0.775595238095238
sklearn-DT,9,target,1,2.0,2,1.0
OSDT,9,target,9,9.0,512,0.0
ConTree,9,target,-1,9.0,-1,0.0
